Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of hematopoietic progenitor cell differentiation (GO:1901532)	4.181264e-08	3.069928e-06	0	0	4.880616e+00	8.292199e+01	YTHDF2;PSMD14;PSMD13;PSMA7;PSMB10;PSMB8;PSMB9;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMD6;PSMD7;PSMA4;PSMD4;PSMB2;PSMC3;PSMB3;PSMC4;PSMB1;PSME1;PSME2
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	4.359125e-08	3.145334e-06	0	0	2.923490e+00	4.954850e+01	ANAPC16;PSMD14;PSMD13;CETN2;DCTN3;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;ACTR1A;PSMD7;PSMD4;UBB;PSMB2;PPP2R1A;PSMB3;UBC;PSMB1;RIOK2;BUB3;SKP1;CEP78;HSP90AA1;TUBB;CSNK1D;DYNLL1;SIRT2;PSMB8;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;ID2;PSME1;PSME2;ANAPC5;PTPN6;MAPRE1
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	4.694610e-08	3.329990e-06	0	0	2.828822e+00	4.773429e+01	PSMD14;PSMD13;UBE2D3;DERL1;PRPF19;RNF5;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;ERLEC1;PSMD6;PSMD7;MAEA;SHARPIN;PSMD4;PSMB2;PSMB3;TBX21;PSMB1;PMAIP1;FBXW5;NHLRC3;CRBN;PPP2R5C;RAD23B;SIRT2;PSMB8;PSMB9;PSMA5;SPSB3;PSMA6;RNF126;PSMA4;PSMC3;KCTD10;PSMC4;DDIT3;PSME1;PSME2;STUB1;RBCK1;RNF187
GO_Biological_Process_2021	lymphocyte migration (GO:0072676)	5.583157e-08	3.830412e-06	0	0	1.361479e+01	2.273796e+02	ZAP70;CCL4L1;CCL5;TBX21;CCL4;CCL3;XCL2;MSN;XCL1;ADAM8;CKLF;MYO1G
GO_Biological_Process_2021	proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	5.583157e-08	3.830412e-06	0	0	1.361479e+01	2.273796e+02	PSMA5;PSMB6;PSMA6;PSMB7;PSMA4;PSMB2;PSMB3;PSMB1;PSMA7;PSMB10;PSMB8;PSMB9
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	6.207796e-08	4.190262e-06	0	0	1.949928e+00	3.235881e+01	MTCH2;ARL6IP1;ZFAND6;FASLG;CIB1;PARK7;HMGB1;TRIAP1;AATF;PREX1;AKAP13;LGALS1;CCND2;CASP8;CASP10;ARHGDIA;CFL1;RPS6KA1;PIM1;ARL6IP5;CASP1;CD38;CTSD;PSENEN;ZBP1;HSP90AA1;ANXA1;PRMT2;ANXA4;SERPINB9;ACTN4;MIF;RABGGTA;YWHAZ;DNM2;IRF3;BIN1;ARHGEF3;TAX1BP1;TMBIM6;ARHGEF1;SQSTM1;PPIA;PPID;HDAC2;ANP32A;HDAC1;GSTP1;GLO1;HIGD1A;RELA;RTN4;MTDH;HSP90B1;SOCS2;PRDX5;MIEN1;IRAK1;UBB;DDRGK1;PDCD10;UBC;FLNA;SAP18;PMAIP1;BNIP2;PTK2B;BAK1;ZBTB7A;IP6K2;HSPA9;MOAP1;PRELID1;XBP1;SEMA4D;GADD45B;HSPA5;MGMT;GADD45A;GZMA;CFLAR;DNAJA1;DAB2;HNRNPK;SON;STK17A;IL2RB;BAX;PTPN6;ATM;RNPS1;CIAPIN1;CALR;BCL2L1
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	6.909923e-08	4.518442e-06	0	0	5.522284e+00	9.104989e+01	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;TIMMDC1;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFAB1;NDUFS2;TMEM126B;NDUFV1
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	6.909923e-08	4.518442e-06	0	0	5.522284e+00	9.104989e+01	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;TIMMDC1;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFAB1;NDUFS2;TMEM126B;NDUFV1
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	7.901790e-08	5.087537e-06	0	0	4.662941e+00	7.625583e+01	CYFIP2;ACTR3;LYN;HSP90AA1;FCER1G;WIPF1;WAS;ARPC4;ARPC5;ACTB;ACTG1;FGR;CDC42;FCGR3A;ARPC2;ARPC3;ABI1;MAPK1;FYN;RAC1;CD247;NCK1;MYO1G
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	9.857712e-08	6.250686e-06	0	0	1.767236e+00	2.850981e+01	GMFG;UBE2D2;UBE2D3;KEAP1;UBE2L6;PARK7;DCAF7;UBE2L3;PSMD8;STK10;PSMD6;NUB1;PSMD7;LGALS1;PSMD4;PPP2R1A;PIM1;FBXO6;PRKACB;SKP1;FBXW4;RAB2A;FBXW5;PRKCH;WSB1;MATK;SHISA5;CSNK1D;RUNX3;PDIA6;NRBP1;PSME1;PSME2;TNIK;PHPT1;PSMD14;RPN2;PSMD13;TXK;HSP90B1;SOCS2;IRAK1;ST3GAL4;IGFBP7;LYN;UBE2F;SRPK2;TGFB1;ZBTB16;ISG15;PPP5C;COPS6;PTPRC;ATM;STT3B;COPS8;PIGT;SETD3;GPAA1;ILK;WDR45;PRSS23;FCGR3A;PPP3CC;RAB8A;JAK1;DUSP2;PPP1R12A;ANXA1;PARP4;PPP2R5C;RABGGTA;YWHAZ;SIRT2;DDOST;TGFBR1;PARP8;PSMA5;FGR;PSMA6;ZAP70;RCN1;PSMA4;SDHAF2;CTDSP1;DAD1;LCK;ATG4B;HCST;GLRX;PSMA7;PSMB10;PSMB6;PPP2CA;PSMB7;PSMB2;PSMB3;PSMB1;ERBB2;PTK2B;MAPK1;FYN;CSK;RBBP7;SLC35A1;CSNK1A1;PTPN12;PSMB8;PSMB9;PPP1CA;SPSB3;PSMC3;PSMC4;STK17A;ASB8;NUCB1;PTPN6;PKN1;CD247;P4HB;PTPN7;PTPN4;ASB1
